ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
E2,K2O,1.05,1.05,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,H2O+,0.12,0.12,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,H2O-,0.13,0.13,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,TiO2,4.19,4.19,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,P2O5,0.20,0.20,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,Cr2O3,...,,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,S,...,,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,F,...,,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,total,100.44,100.44,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Qz,...,,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Or,6.12,6.12,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Ab,27.25,27.25,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Ne,0.57,0.57,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_An,19.18,19.18,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Di,23.56,23.56,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Hy,...,,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
E2,n_Ol,12.12,12.12,Carnegie Institution of Washington Year Book 63,1,E2,93,yearbookcarne63196364carn,190,
